Site,Network(s),City,Country,Agency,Lat,Long,Height (m),Site,Receiver,Antenna,Radome,Calibration,Last RINEX2,Last RINEX3,Sat System,Site
BADG00RUS,IGS,Badary,Russian Federation,IAA,51.7697056,102.2349806,811.4,BADG00RUS,JAVAD TRE_G3TH DELTA,JAVRINGANT_DM,JVDM,ROBOT,2020-10-20,n/a,GPS+GLO,BADG00RUS
BAIE00CAN,IGS,BAIE COMEAU,Canada,NRCan,49.186825,-68.2633278,27.5,BAIE00CAN,TPS NET-G5,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,BAIE00CAN
BAKE00CAN,IGS,Baker Lake,Canada,NRCan,64.3178194,-96.0023444,4.4,BAKE00CAN,TPS NET-G3A,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,BAKE00CAN
BAKO00IDN,IGS,Cibinong,Indonesia,BAKOSURTANAL,-6.49,106.85,158.18,BAKO00IDN,LEICA GR50,LEIAR20,LEIM,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,BAKO00IDN
BAMF00CAN,IGS,Bamfield,Canada,GSC,48.8353167,-125.1350889,11.1,BAMF00CAN,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,ROBOT,2020-10-20,n/a,GPS+GLO+GAL,BAMF00CAN
BARH00USA,IGS,Bar Harbor,United States,NGS,44.3950472,-68.2216917,6.8,BARH00USA,LEICA GR30,LEIAR10,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,BARH00USA
BELE00BRA,IGS,Belem,Brazil,IBGE,-1.4087944,-48.4625472,9.08,BELE00BRA,TRIMBLE NETR9,TRM115000.00,NONE,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS,BELE00BRA
BHR300BHR,IGS,Manama,Bahrain,NGA,26.2091417,50.6081444,-13.9,BHR300BHR,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,BHR300BHR
BHR400BHR,IGS,Manama,Bahrain,NGA,26.2091417,50.6081444,-13.9,BHR400BHR,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,BHR400BHR
BIK000KGZ,IGS,Bishkek,Kyrgyzstan,GFZ,42.8541944,74.5331944,749.2,BIK000KGZ,JAVAD TRE_G3TH DELTA,JAV_RINGANT_G3T,NONE,ROBOT,2018-12-16,2020-10-20,GPS+GLO+GAL,BIK000KGZ
BILL00USA,IGS,Temecula,United States of America,UNAVCO,33.5782417,-117.0646,470.06,BILL00USA,SEPT POLARX5,TRM59800.99,SCIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,BILL00USA
BJCO00BEN,IGS,Cotonou,Benin,IGN-BJ,6.3846639,2.4500222,30.7,BJCO00BEN,TRIMBLE NETR5,TRM59800.00,NONE,ROBOT,2020-03-15,n/a,GPS+GLO,BJCO00BEN
BJFS00CHN,IGS,Fangshan,China,CASM,39.608625,115.8924611,87.413,BJFS00CHN,TRIMBLE NETR9,TRM59900.00,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO,BJFS00CHN
BJNM00CHN,IGS,Beijing,China,NIM,40.245325,116.2241278,118.6,BJNM00CHN,SEPT POLARX3ETR,NOV702GG,NONE,ROBOT,2020-07-08,n/a,GPS+GLO,BJNM00CHN
BLYT00USA,IGS,Blythe,United States of America,USGS,33.6104139,-114.71485,85.9,BLYT00USA,TRIMBLE NETRS,ASH701945B_M,ENCL,n/a,2020-10-20,n/a,GPS,BLYT00USA
BNOA00IDN,IGS,Benoa,Indonesia,PGF,-8.7465,115.2099167,39.056,BNOA00IDN,TRIMBLE NETR9,TRM59900.00,SCIS,ROBOT,2020-10-20,n/a,GPS,BNOA00IDN
BOAV00BRA,IGS,Boa Vista,Brazil,IBGE,2.8451806,-60.7011139,69.48,BOAV00BRA,TRIMBLE NETR9,TRM115000.00,NONE,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS,BOAV00BRA
BOGI00POL,IGS,Borowa Gora,Poland,IGiK,52.4749889,21.0352111,139.9,BOGI00POL,JAVAD TRE_G3T DELTA,ASH701945C_M,SNOW,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,BOGI00POL
BOGT00COL,IGS,Bogota,Colombia,JPL,4.6400731,-74.0809396,2576.7782,BOGT00COL,JAVAD TRE_3 DELTA,JAVRINGANT_DM,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,BOGT00COL
BOR100POL,IGS,Borowiec,Poland,SRC PAS,52.2769556,17.0734583,124.9,BOR100POL,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS+SBAS,BOR100POL
BRAZ00BRA,IGS,Brasilia,Brazil,IBGE,-15.9474,-47.8778,1106.0413,BRAZ00BRA,TRIMBLE NETR9,TRM57971.00,NONE,ROBOT,2020-05-18,2020-10-19,GPS+GLO+GAL,BRAZ00BRA
BREW00USA,IGS,Brewster,United States of America,JPL,48.131524,-119.6826335,238.6273,BREW00USA,SEPT POLARX5TR,ASH701945C_M,SCIT,FIELD,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,BREW00USA
BRFT00BRA,IGS,Eusebio,Brazil,NGS,-3.8774472,-38.4255361,21.7,BRFT00BRA,LEICA GRX1200PRO,LEIAT504,NONE,ROBOT,2020-10-20,n/a,GPS,BRFT00BRA
BRMU00GBR,IGS,Town of St. George,United Kingdom,NGS,32.3704,-64.6962722,-11.6,BRMU00GBR,LEICA GRX1200GGPRO,JAVRINGANT_DM,NONE,ROBOT,2020-09-27,n/a,GPS+GLO,BRMU00GBR
BRST00FRA,IGS,Brest,France,IGN,48.3804972,-4.4966,65.5,BRST00FRA,TRIMBLE ALLOY,TRM57971.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,BRST00FRA
BRUN00BRN,IGS,Gadong,Brunei,JAXA,4.9711778,114.9523611,90.669,BRUN00BRN,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2020-06-19,GPS+GLO+GAL+BDS+QZSS,BRUN00BRN
BRUX00BEL,IGS,Brussels,Belgium,ROB,50.7980639,4.3585639,158.3,BRUX00BEL,SEPT POLARX5TR,JAVRINGANT_DM,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,BRUX00BEL
BSHM00ISR,IGS,Haifa,Israel,JPL,32.779,35.02,225.1,BSHM00ISR,JAVAD TRE_3 DELTA,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS+IRNSS,BSHM00ISR
BTNG00IDN,IGS,Bitung,Indonesia,PGF,1.4389222,125.1904306,74.993,BTNG00IDN,TRIMBLE NETR9,TRM59900.00,SCIS,ROBOT,2019-01-20,n/a,GPS,BTNG00IDN
BUCU00ROU,IGS,Bucuresti,Romania,BKG,44.4639444,26.1257389,143.2,BUCU00ROU,LEICA GR50,LEIAR25.R4,LEIT,ROBOT,2020-10-06,2020-10-19,GPS+GLO+GAL+BDS+SBAS,BUCU00ROU
CAGS00CAN,IGS,Gatineau,Canada,NRCan/GSD,45.585,-75.8073,235,CAGS00CAN,TRIMBLE NETR8,TRM59800.00,NONE,ROBOT,2020-10-20,n/a,GPS,CAGS00CAN
CAS100ATA,IGS,Casey,Antarctica,GA,-66.2834,110.5197,22.6,CAS100ATA,SEPT POLARXS,LEIAR25.R3,LEIT,ROBOT,2020-10-17,2020-10-17,GPS+GLO+GAL+BDS+QZSS,CAS100ATA
CCJ200JPN,IGS,Ogasawara,Japan,GSI,27.0675306,142.1950278,104.214,CCJ200JPN,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+QZSS,CCJ200JPN
